"Source:","/Users/phil/Documents/Kicad/arduinouno/arduinouno.sch"
"Date:","Sunday, 16 September 2018 at 09:47:21 pm"
"Tool:","Eeschema (5.0.0-3-g5ebb6b6)"
"Generator:","/private/var/folders/0l/vnx5ky0j3ts2193kl5yxnbs00000gn/T/AppTranslocation/A56F1F43-A0CA-4C13-8180-FD3DEFA6E32C/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","108"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey"
"","","Z1","CG0603MLC-05E","arduinouno:CG0603MLC-05E","arduinouno:R_0603","https://www.bourns.com/docs/Product-Datasheets/MLC.pdf","CG0603MLC-05ECT-ND"
"","","Z2","CG0603MLC-05E","arduinouno:CG0603MLC-05E","arduinouno:R_0603","https://www.bourns.com/docs/Product-Datasheets/MLC.pdf","CG0603MLC-05ECT-ND"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey"
"1","1","C1","100u|10V","arduinouno:EEE-1AA101WR","arduinouno:C_ALUM_C_SIZE","https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1145.pdf","PCE3867TR-ND"
"2","1","C2","100uF|10V","arduinouno:EEE-1AA101WR","arduinouno:C_ALUM_C_SIZE","https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1145.pdf","PCE3867TR-ND"
"3","7","C3, C12, C13, C19, C21, C22, C34","10uF|16V","arduinouno:C2012X5R1C106M085AC","arduinouno:C0805x145mm","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","445-7645-1-ND"
"4","19","C4, C5, C6, C8, C11, C14, C15, C16, C17, C20, C23, C24, C26, C28, C29, C30, C31, C32, C33","100nF","arduinouno:C2012X7R1H104K085AA","arduinouno:C0805x95mm","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","445-7534-1-ND"
"5","1","C7","1uF|25V","arduinouno:C2012X5R1E105K125AA","arduinouno:C0805x95mm","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","445-1419-1-ND"
"6","4","C9, C10, C25, C27","18pF","arduinouno:C0805C180J1GACTU","arduinouno:C0805x95mm","https://api.kemet.com/component-edge/download/datasheet/C0805C180J1GACTU.pdf","399-8029-1-ND"
"7","1","D1","GREEN","arduinouno:LG_L29K-G2J1-24-Z","arduinouno:LED_0603","https://dammedia.osram.info/media/resource/hires/osram-dam-2493945/LG%20L29K.pdf","475-2709-1-ND"
"8","3","D2, D3, D4","ORANGE","arduinouno:LO_L29K-H2K1-24-Z","arduinouno:LED_0603","https://dammedia.osram.info/media/resource/hires/osram-dam-2493882/LO%20L29K.pdf","475-2740-1-ND"
"9","2","D5, D6","BAT54HT1G","arduinouno:BAT54HT1G","arduinouno:SOD323","http://www.onsemi.com/pub/Collateral/BAT54HT1-D.PDF","BAT54HT1GOSTR-ND"
"10","3","FB1, FB2, FB3","MPZ2012S601AT000","arduinouno:MPZ2012S601AT000","arduinouno:FB0805x85mm","https://product.tdk.com/info/en/catalog/datasheets/beads_commercial_power_mpz2012_en.pdf","445-7645-1-ND"
